id,name,code,city,address,zipcode,full name
6669610334fb243c680a7680,Orange Aarschot,MOBIS499,Aarschot,Theo De,3200,Orange Aarschot Aarschot
668c002d160ec4c56a009758,Orange Shop Kortrijk Steenpoort,mobis467,Kortrijk,"Steenpoort, 1",8500,Orange Shop Kortrijk Steenpoort Kortrijk
668c002d161070da68009757,Orange Shop Couvin,MOBIS482,Couvin,"Faubourg Saint-Germain, 89",5660,Orange Shop Couvin Couvin
668c002d2364f1e3c400975b,Orange Shop Dinant,mobis397,Dinant,"Rue Grande, 119",5500,Orange Shop Dinant Dinant
668c002d236ae12f5100975d,Orange Shop Uccle Alsemberg,mobis453,Uccle,"Chaussée d'Alsemberg, 682",1180,Orange Shop Uccle Alsemberg Uccle
668c002d3a0d724386009759,Orange Shop Liege Saint-Lambert,mobis127,Liège,"Rue Joffre, 5b",4000,Orange Shop Liege Saint-Lambert Liège
668c002d3a1f37593d00975c,Orange Shop Libramont,MOBIS486,Libramont-Chevigny,"Avenue de Bouillon, 58",6800,Orange Shop Libramont Libramont-Chevigny
668c002e16115b6ed9009766,Orange Shop Huy,mobis027,Huy,"Rue Neuve, 7",4500,Orange Shop Huy Huy
668c002e16116d7d1c00975e,Orange Shop Gent Veldstraat,mobis312,Gent,"Veldstraat, 49",9000,Orange Shop Gent Veldstraat Gent
668c002e23641fa926009764,Orange Shop Hasselt,mobis295,Hasselt,"Demerstraat, 10/12",3500,Orange Shop Hasselt Hasselt
668c002e23671931d9009760,Orange Shop Ben-Ahin,MOBIS492,Huy,"Avenue du Bosquet, 36",4500,Orange Shop Ben-Ahin Huy
668c002e2369b003de00975f,Orange Shop Veurne,mobis460,Veurne,"Grote Markt, 17",8630,Orange Shop Veurne Veurne
668c002e3a0d882276009762,Orange Shop Charleroi Ville 2 Shopping Center,mobis296,Charleroi,"Grand'Rue, 143",6000,Orange Shop Charleroi Ville 2 Shopping Center Charleroi
668c002e3a0ef2aeba009763,Orange Shop Antwerpen Meir,mobis288,Antwerpen,Meir 10,2000,Orange Shop Antwerpen Meir Antwerpen
668c002e3a1f0d5573009761,Orange Shop Mouscron,MOBIS498,Mouscron,"Rue de Tournai, 10",7700,Orange Shop Mouscron Mouscron
668c002e3a1f25af66009765,Orange Shop Oostende,mobis381,Oostende,"Kapellestraat, 26b",8400,Orange Shop Oostende Oostende
668c002f16108cebc400976e,Orange Shop Namur Rue De L'Ange,MOBIS473,Namur,"Rue de l'Ange, 113",5000,Orange Shop Namur Rue De L'Ange Namur
668c002f1610eef050009769,Orange Shop Liege Pont D'Ile,mobis402,Liège,"Rue Pont d'île, 1",4000,Orange Shop Liege Pont D'Ile Liège
668c002f161105953e00976b,Orange Shop Diest,MOBIS501,Diest,"Botermarkt, 27",3290,Orange Shop Diest Diest
668c002f161139e41c009770,Orange Shop Gouden Kruispunt,MOBIS502,Tielt-Winge,"Gouden Kruispunt, 78",3390,Orange Shop Gouden Kruispunt Tielt-Winge
668c002f2367e064f500976d,Orange Shop Hornu Cora,MOBIS484,Mons,"Rue de Mons, 163",7301,Orange Shop Hornu Cora Mons
668c002f2367efeb9c009768,Orange Shop Cora Messancy,MOBIS478,Messancy,Rue d'Arlon 220,6780,Orange Shop Cora Messancy Messancy
668c002f23697ff3bb009767,Orange Shop Brugge Steenstraat,mobis294,Brugge,"Steenstraat, 54",8000,Orange Shop Brugge Steenstraat Brugge
668c002f2369bd6a3a00976c,Orange Shop Maasmechelen Shopping Center,mobis373,Maasmechelen,"Koninginnelaan, 115",3630,Orange Shop Maasmechelen Shopping Center Maasmechelen
668c002f3a1f83e97e00976a,Orange shop Place Louise,mobis455,Bruxelles,"Place Louise, 3",1000,Orange shop Place Louise Bruxelles
668c002f3a1fd9b4ae00976f,Orange Shop Uccle Bascule,mobis301,Uccle,"Chaussée de Waterloo, 681",1180,Orange Shop Uccle Bascule Uccle
668c0030160ed08d20009777,Orange Shop Oudenaarde,MOBIS496,Oudenaarde,"Nederstraat, 22",9700,Orange Shop Oudenaarde Oudenaarde
668c003016107fe441009772,Orange Shop Basilix Shopping Center,mobis442,Berchem-Sainte-Agathe,"Avenue Charles-Quint, 420",1082,Orange Shop Basilix Shopping Center Berchem-Sainte-Agathe
668c0030161156caf1009775,Orange Shop Herstal,MOBIS483,Herstal,"Rue Basse Campagne, 1",4040,Orange Shop Herstal Herstal
668c003023646613e5009774,Orange Shop Leuven Diestsestraat,mobis299,Leuven,"Diestsestraat, 61",3000,Orange Shop Leuven Diestsestraat Leuven
668c003023673b2a0d009776,Orange Shop Tournai Bastion,mobis351,Tournai,"Boulevard Walter de Marvis, 22",7500,Orange Shop Tournai Bastion Tournai
668c0030236796057e009771,Orange Shop Bastogne,MOBIS491,Bastogne,"Rue du Vivier, 88",6600,Orange Shop Bastogne Bastogne
668c00302369b6d296009778,Orange Shop Vise,mobis418,Visé,"Rue du Collège, 46",4600,Orange Shop Vise Visé
668c00303a1ffcf19b009773,ORANGE SHOP JEMEPPE RUE JOSEPH WETTINCK,SOLUT005,Seraing,"Rue J. Wettinck, 68b",4101,ORANGE SHOP JEMEPPE RUE JOSEPH WETTINCK Seraing
668c0031160e5c0f00009780,Orange Shop Wijnegem Shopping Center,mobis293,Wijnegem,Turnhoutsebaan 5 - Lokaal 127,2110,Orange Shop Wijnegem Shopping Center Wijnegem
668c0031160e7a84cc00977b,Orange Shop Ieper,mobis459,Ieper,"Boterstraat, 35",8900,Orange Shop Ieper Ieper
668c00311610b160b900977e,Orange Shop Lier,MOBIS505,Lier,"Antwerpsestraat, 76",2500,Orange Shop Lier Lier
668c00311611a55c94009779,Orange Shop Bruxelles City 2 Shopping Center,mobis449,Bruxelles,"Rue Neuve, 123",1000,Orange Shop Bruxelles City 2 Shopping Center Bruxelles
668c00312367f184dc00977a,Orange Shop Anderlecht Westland Shopping Center,mobis348,Anderlecht,"Boulevard Sylvain Dupuis, 433",1070,Orange Shop Anderlecht Westland Shopping Center Anderlecht
668c00312369e254ca00977c,Orange Shop Marche-En-Famenne,MOBIS487,Marche-En-Famenne,"Rue du Commerce, 31",6900,Orange Shop Marche-En-Famenne Marche-En-Famenne
668c0031236ad1aa7200977d,Orange Shop Aalst,MOBIS494,Aalst,"Lange Zoutstraat, 22",9300,Orange Shop Aalst Aalst
668c00313a0ec591d9009781,Orange Shop Lokeren,mobis458,Lokeren,"Markt, 41",9160,Orange Shop Lokeren Lokeren
668c00313a1f059a7c00977f,Orange Shop Liège Médiacité,mobis349,Liège,"Boulevard Raymond Poincaré, 7",4020,Orange Shop Liège Médiacité Liège
668c0032160ea4433f009784,Orange Shop Ninove,MOBIS495,Ninove,"Centrumlaan, 30",9400,Orange Shop Ninove Ninove
668c003216119d7d59009785,Orange Shop Andenne,MOBIS489,Andenne,"Rue du Commerce, 4",5300,Orange Shop Andenne Andenne
668c00322364ff636b009787,Orange Shop Turnhout,mobis310,Turnhout,"Gasthuisstraat, 34",2300,Orange Shop Turnhout Turnhout
668c00322367904f61009789,Orange Shop Eupen,mobis350,Eupen,Klosterstrasse 18,4700,Orange Shop Eupen Eupen
668c0032236a76f08500978a,Orange Shop Brugge Sint-Kruis,mobis439,Brugge,"Maalse Steenweg, 25",8310,Orange Shop Brugge Sint-Kruis Brugge
668c0032236a92f788009786,Orange shop Nivelles Shopping Center,MOBIS474,Nivelles,"Chaussée de Mons, 18",1400,Orange shop Nivelles Shopping Center Nivelles
668c0032236ab3f452009782,Orange Shop La Louviere Cora,mobis403,La Louvière,"Rue de la Franco-Belge,",7100,Orange Shop La Louviere Cora La Louvière
668c00323a1fa1f996009788,Orange Shop Charleroi Rive Gauche Shopping Center,MOBIS479,Charleroi,"Place Verte, 20",6000,Orange Shop Charleroi Rive Gauche Shopping Center Charleroi
668c00323a1fe33450009783,Orange Shop Woluwe Cora,mobis298,Woluwe-Saint-Lambert,"Avenue des Communautés, 101",1200,Orange Shop Woluwe Cora Woluwe-Saint-Lambert
668c0033160eeedaca00978f,Orange Shop Vilvoorde,mobis416,Vilvoorde,"Leuvensestraat, 12",1800,Orange Shop Vilvoorde Vilvoorde
